日期,开盘,收盘,最高,最低,交易量(手),交易金额(元),涨跌额,涨跌幅(%),振幅(%),换手率(%)
2000-01-04,17.91,18.30,18.30,17.70,6200,11250000,0.30,1.67,3.33,1.27
2000-01-05,18.30,18.00,18.32,17.88,7201,13020000,-0.30,-1.64,2.40,1.48
2000-01-06,18.00,18.20,18.30,17.65,5679,10290000,0.20,1.11,3.61,1.17
2000-01-07,18.25,18.64,18.70,18.10,15010,27760000,0.44,2.42,3.30,3.08
2000-01-10,19.38,19.58,19.90,18.90,28018,54370000,0.94,5.04,5.37,5.75
2000-01-11,19.68,18.67,19.68,18.30,8370,15830000,-0.91,-4.65,7.05,1.72
2000-01-12,18.60,18.00,18.70,17.70,4528,8180000,-0.67,-3.59,5.36,0.93
2000-01-13,18.00,17.80,18.20,17.40,3216,5700000,-0.20,-1.11,4.44,0.66
2000-01-14,17.68,17.80,18.00,17.51,1669,2950000,0.00,0.00,2.75,0.34
2000-01-17,17.88,17.70,17.88,17.51,1058,1870000,-0.10,-0.56,2.08,0.22
2000-01-18,17.80,17.68,17.80,17.42,1888,3320000,-0.02,-0.11,2.15,0.39
2000-01-19,17.38,17.90,18.04,17.38,1974,3510000,0.22,1.24,3.73,0.41
2000-01-20,17.82,17.94,18.25,17.80,6187,11150000,0.04,0.22,2.51,1.27
2000-01-21,18.00,17.96,18.63,17.92,10333,18960000,0.02,0.11,3.96,2.12
2000-01-24,18.33,18.09,18.48,17.60,5734,10340000,0.13,0.72,4.90,1.18
2000-01-25,17.80,17.87,18.27,17.72,4476,8000000,-0.22,-1.22,3.04,0.92
2000-01-26,17.95,18.93,18.95,17.52,14753,27090000,1.06,5.93,8.00,3.03
2000-01-27,19.08,19.90,20.32,18.91,29073,57290000,0.97,5.12,7.45,5.97
2000-01-28,20.11,20.58,21.30,19.72,40656,83030000,0.68,3.42,7.94,8.34
2000-02-14,21.30,22.62,22.63,21.21,51032,112320000,2.04,9.91,6.90,10.47
2000-02-15,23.00,22.97,24.45,22.12,47518,111390000,0.35,1.55,10.30,9.75
2000-02-16,22.50,22.43,23.10,21.76,22449,50130000,-0.54,-2.35,5.83,4.61
2000-02-17,22.75,22.20,23.88,20.50,32988,72810000,-0.23,-1.03,15.07,6.77
2000-02-18,22.00,21.99,22.00,20.50,8907,19040000,-0.21,-0.95,6.76,1.83
2000-02-21,21.78,22.50,22.74,21.20,16570,36550000,0.51,2.32,7.00,3.40
2000-02-22,22.65,23.29,23.81,21.85,26581,61350000,0.79,3.51,8.71,5.45
2000-02-23,23.00,22.98,23.15,22.10,14067,31800000,-0.31,-1.33,4.51,2.89
2000-02-24,22.98,24.99,24.99,22.80,48963,116830000,2.01,8.75,9.53,10.05
