日期,开盘,收盘,最高,最低,交易量(手),交易金额(元),涨跌额,涨跌幅(%),振幅(%),换手率(%)
2016-08-12,9.25,11.10,11.10,9.25,154,170000,3.39,43.97,23.99,0.05
2016-08-15,12.21,12.21,12.21,12.21,17,20000,1.11,10.00,0.00,0.01
2016-08-16,13.43,13.43,13.43,13.43,43,60000,1.22,9.99,0.00,0.01
2016-08-17,14.77,14.77,14.77,14.77,31,50000,1.34,9.98,0.00,0.01
2016-08-18,16.25,16.25,16.25,16.25,55,90000,1.48,10.02,0.00,0.02
2016-08-19,17.88,17.88,17.88,17.88,32,60000,1.63,10.03,0.00,0.01
2016-08-22,19.67,19.67,19.67,19.67,57,110000,1.79,10.01,0.00,0.02
2016-08-23,21.64,21.64,21.64,21.64,37,80000,1.97,10.02,0.00,0.01
2016-08-24,23.80,23.80,23.80,23.80,94,220000,2.16,9.98,0.00,0.03
2016-08-25,26.18,26.18,26.18,26.18,171,450000,2.38,10.00,0.00,0.06
2016-08-26,28.80,28.80,28.80,28.80,267,770000,2.62,10.01,0.00,0.09
2016-08-29,31.68,31.68,31.68,31.68,304,960000,2.88,10.00,0.00,0.10
2016-08-30,34.85,34.85,34.85,34.85,311,1080000,3.17,10.01,0.00,0.10
2016-08-31,38.34,38.34,38.34,38.34,380,1460000,3.49,10.01,0.00,0.13
2016-09-01,42.17,42.17,42.17,42.17,480,2020000,3.83,9.99,0.00,0.16
2016-09-02,46.39,46.39,46.39,46.39,639,2960000,4.22,10.01,0.00,0.21
2016-09-05,51.03,51.03,51.03,51.03,1055,5390000,4.64,10.00,0.00,0.35
2016-09-06,56.13,56.13,56.13,54.22,146882,820040000,5.10,9.99,3.74,48.96
2016-09-07,56.80,58.56,60.80,55.80,198311,1145980000,2.43,4.33,8.91,66.10
2016-09-08,55.95,54.75,56.51,54.10,120853,667470000,-3.81,-6.51,4.12,40.28
2016-09-09,53.80,52.56,53.98,51.00,99986,524850000,-2.19,-4.00,5.44,33.33
2016-09-12,50.92,57.82,57.82,50.70,134653,743400000,5.26,10.01,13.55,44.88
2016-09-13,57.95,55.47,58.80,54.15,122516,688820000,-2.35,-4.06,8.04,40.84
